x1,x2,y
-3.84,-4.40,0
16.36,6.54,1
-2.73,-5.13,0
4.83,7.22,1
3.66,-5.34,0
-0.25,3.12,1
-4.05,-5.13,0
5.92,4.12,1
5.55,-1.74,1
5.68,3.40,1
10.18,8.89,1
-5.23,-6.67,0
-2.94,-7.10,0
3.17,6.16,1
1.82,-1.63,1
-9.18,-1.19,0
1.28,-4.73,0
-1.49,-2.72,0
7.21,1.48,1
0.83,6.78,1
-13.54,-1.02,0
3.14,1.96,1
0.94,0.11,1
-4.76,-8.73,0
5.20,7.22,1
4.49,4.01,1
5.28,-2.48,1
6.70,-6.34,0
5.42,-2.77,1
-0.43,-3.38,0
-5.37,-3.82,0
-0.09,-8.31,0
-10.86,-9.11,0
2.16,4.69,1
-1.67,0.07,0
0.18,-9.78,0
4.27,-13.91,0
3.71,9.04,1
9.27,1.85,1
1.80,4.61,1
-7.37,-11.87,0
-0.37,-7.59,0
-0.96,-5.23,0
-3.35,-6.77,0
4.13,-7.18,0
10.44,-6.05,1
-4.22,-7.05,0
3.72,8.25,1
2.76,-0.68,1
-3.50,-5.68,0
5.95,-10.07,0
-5.17,-4.59,0
-1.76,-0.97,0
-7.83,-3.18,0
-1.57,0.57,1
9.14,4.46,1
-10.80,-4.57,0
-0.08,3.66,0
-3.28,-1.54,1
-1.04,-5.42,0
10.21,3.82,1
3.71,2.54,1
12.28,-0.10,1
-0.84,-3.87,0
6.53,0.10,1
8.97,2.10,1
-3.97,-4.71,0
2.84,-7.89,0
-4.31,-2.16,0
-2.30,-4.22,0
-3.62,-7.97,0
11.72,-3.33,1
0.79,-4.98,0
11.03,-7.03,0
-3.30,-2.64,0
7.84,-5.64,0
-5.49,-1.57,0
-8.69,-9.69,0
-5.89,-5.96,0
5.36,2.73,1
1.53,-4.95,0
-1.05,4.01,1
-4.65,-7.61,0
-4.66,-0.78,0
1.18,-9.71,0
4.03,5.24,1
4.09,4.61,1
-0.88,-4.48,0
0.56,-5.17,0
12.29,-2.51,1
9.77,6.69,1
-4.52,-11.13,0
0.80,-8.83,0
-4.89,-8.58,0
3.40,-2.12,1
3.25,3.71,1
4.78,0.08,1
6.11,4.34,1
-7.67,-10.05,0
2.69,-0.84,1
-3.69,-10.78,0
0.04,-2.91,1
8.93,7.30,1
2.85,1.86,1
10.66,-2.37,1
4.36,-2.10,1
2.53,1.89,1
8.36,10.60,1
9.12,-1.53,1
2.06,-8.03,0
0.02,-5.39,0
12.79,8.90,1
-5.52,-9.25,0
3.61,5.99,1
-5.45,-5.48,0
2.74,11.48,1
-8.05,1.79,0
8.87,-3.80,1
2.33,7.95,1
5.22,7.43,1
4.34,0.68,1
6.33,3.30,1
9.39,3.89,1
6.83,2.22,1
5.69,6.50,1
-6.70,-10.23,0
0.89,3.70,1
2.74,-9.34,0
-0.40,6.67,1
0.63,-0.58,0
-0.97,-0.19,0
-0.38,-13.55,0
7.35,1.79,1
3.10,-11.50,0
-1.53,-7.31,0
-5.52,-4.68,0
4.38,-5.04,0
2.22,-0.00,1
-1.05,-3.75,0
1.53,-12.24,0
6.83,-2.38,1
-3.96,-9.17,0
3.77,1.20,1
10.50,-1.03,1
7.93,0.80,1
7.26,-6.40,0
4.84,3.15,1
10.10,2.34,1
-4.68,-8.24,0
